SN,District,Municipality,Ward Number,Town/Village Name,Tole,Latitude,Longitude,Source Name,Source Type,Ownership,Surrounding Environment (Landuse),Plant Species around Water Source,Source Condition,Perennial / Seasonal,Dried since how many years?,Reason of drying,"After this source dried up , was there any activity for revival done in this source?",List the activities done for source revival,What was done after source was dried up?,Source Condition,Nature of discharge,Water emergence point,"Volume of bucket /bottle (1, 2, 5, 10 or 20 litre)",Time to fill (seconds),Approx. distance from the nearest dependent household (metre),One-way water fetching time (minutes),How much time did it take to fill the Jar of 20 liter before 10 yr? (minutes),Current time to fill 20 liter jar (minutes),Trend of spring discharge,Pond area (square metre),Pond depth (metre),Pond area 10 years earlier (square metre),Pond depth10 years earlier (metre),Perception on source water quality,Perception on source water quality change,Is this source in use?,Purpose of use,No. of households dependent on this source,Ethnicity of users,No. of households dependent on this source only,Ethnicity of users dependent on this source only,Any impact due to 2015 earthquake?,Is this source tapped?,Supplied to same Municipality or different?,Supplied to same ward or different wards?,Is water source significant for cultural/religious purpose?,List the events associated with sources,Is this source accessible to everyone in community? (in term of use access),If not who are restricted?,Are there water user groups for management?,User group type,Who is the chairperson?,Women in leadership position,Any spring revival / pond protection measures taken?,What measures have been taken?,Remarks (source specific comment)
1,Kavrepalanchowk,Namobuudha,11,Thalbale,Thalbale,27.55662901,85.59636483,Thalbale kuwa,spring,community,agriculture,"Utis, Chilaune,Suntala",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,2,60,50,5,5,10,decreasing,,,,,good,no_change,yes,"livestock,household,drinking",13,Janajati,,,,no,,,no,,yes,,no,,,,no,,
2,Kavrepalanchowk,Namobuudha,11,Bimire,Bimire,27.56502441,85.63846321,Kuwa,spring,community,agriculture,"Simal, utis , banmara ",dried,perennial,2074,source_neglected,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kavrepalanchowk,Namobuudha,11,Nagar,Vimire,27.54408553,85.56962416,Kuwa,spring,community,agriculture,"Niurom,banmara,paniamala",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,2,30,1500,60,5,7,decreasing,,,,,good,improved,no,,,,,,Degraded,yes,same,same,yes,"Bihe vratawand, puja",yes,,yes,informal,male,"secretary,treasurer",yes,"Plantation,source_protection",
4,Kavrepalanchowk,Namobuudha,11,Nagar,Bimire,27.54560367,85.57067193,Kuwa,spring,community,sparse_forest,"Paniamala,chiudi,basa",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,2,20,300,20,5,30,decreasing,,,,,excellent,improved,yes,"drinking,livestock,household",150,Janajati,,,Degraded,no,,,yes,"Bihe vratawand, puja",yes,,no,,,,no,,
5,Kavrepalanchowk,Namobuudha,11,Nagar,Bimire,27.54557655,85.57047546,Enarko paniboding gareko,pond,public,grassland,"Utisa ,banmara ,panisaga",active,perennial,,,,,,,,,,,,,,,,500,2,400,1.5,good,improved,yes,"drinking,household,livestock",206,Janajati,,,,no,,,no,,yes,,no,,,,no,,
6,Kavrepalanchowk,Namobuudha,11,Nagar,Chinde,27.54749505,85.56483888,Kuwo,spring,private,agriculture,Dana makaibari,active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,2.5,20,500,30,2,24,decreasing,,,,,good,improved,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
7,Kavrepalanchowk,Namobuudha,8,Chap xahara,Xahara,27.56175813,85.64029755,Okhale khola ko mul  ,spring,private,dense_forest,"Bass, okhar, lapsi ",active,perennial,,,,,,closed_kuwa,seepage,rock,20,30,300,20,0.5,0.5,same,,,,,good,improved,yes,"drinking,livestock,household",20,Mixed,,,no_change,yes,same,same,yes,"Pani ciso ,bihevoj,mathmandir nirmad",yes,,no,,,,no,,
8,Kavrepalanchowk,Namobuudha,8,Humagaethok deuvuje,Deuvuje,27.55382022,85.63033632,Jimbalbote mul,spring,community,dense_forest,"Falatha, laliguras, katus ",active,perennial,,,,,,closed_kuwa,seepage,rock,5,60,1000,30,2,5,decreasing,,,,,excellent,no_change,yes,"drinking,household,livestock",105,Mixed,,,no_change,yes,same,same,no,,yes,,yes,informal,male,,no,,
9,Kavrepalanchowk,Namobuudha,8,Xap xahara,Xahara,27.55153412,85.62228572,Simkholiya 72,spring,public,settlement,"Nigala, utis, dudhilo",dried,seasonal,2072,Earthquake,no,,"well,new_source_identification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Kavrepalanchowk,Namobuudha,8,Xahara,Xap xahara,27.55319677,85.61848225,Satayalko mul ,spring,private,dense_forest,"Dhudhilo, uniu, uthis,bas, nigalo ",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,20,120,60,10,2,2,same,,,,,excellent,improved,yes,"drinking,household,livestock",10,Mixed,,,no_change,yes,same,same,yes,"Rici panchami nuhaun,saunma nuhaun ,ramro karyakram ka lagi ",yes,,no,,,,no,,
